gene_id	PreFe_reads	T2_reads	T12_reads	T42_reads	gene_length	gene_product_name	COG	Pfam	Tigrfam	Enzyme	KO	IMG_Term	count_transmembrane_helices	count_hememotif_CXXCH	count_hememotif_CXXXCH	scaffold_id	start_coord	end_coord	strand
2264875844	415	287	67	151	1038	aspartate-semialdehyde dehydrogenase	COG0136 - Aspartate-semialdehyde dehydrogenase<br/><br/>	pfam01118 - Semialdhyde_dh<br/><br/>pfam02774 - Semialdhyde_dhC<br/><br/>	TIGR01296 - aspartate-semialdehyde dehydrogenase (peptidoglycan organisms)<br/><br/>	EC:1.2.1.11 - Aspartate-semialdehyde dehydrogenase.<br/><br/>	KO:K00133 - asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]<br/><br/>			0	0	2264867484	49289	50326	-
2264875845	510	397	96	198	1092	3-isopropylmalate dehydrogenase	COG0473 - Isocitrate/isopropylmalate dehydrogenase<br/><br/>	pfam00180 - Iso_dh<br/><br/>	TIGR00169 - 3-isopropylmalate dehydrogenase<br/><br/>	EC:1.1.1.85 - 3-isopropylmalate dehydrogenase.<br/><br/>	KO:K00052 - leuB; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]<br/><br/>			0	0	2264867484	50323	51414	-
2264875846	236	174	37	92	453	transcriptional repressor NrdR	"COG1327 - Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains<br/><br/>"	pfam03477 - ATP-cone<br/><br/>	TIGR00244 - transcriptional regulator NrdR<br/><br/>		KO:K07738 - nrdR; transcriptional repressor NrdR<br/><br/>			0	0	2264867484	51449	51901	-
2264875847	652	520	124	278	1260	glycine hydroxymethyltransferase	COG0112 - Glycine/serine hydroxymethyltransferase<br/><br/>	pfam00464 - SHMT<br/><br/>		EC:2.1.2.1 - Glycine hydroxymethyltransferase.<br/><br/>	"KO:K00600 - glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]<br/><br/>"			0	0	2264867484	51904	53163	-
2264875848	410	328	80	127	447	Predicted signal-transduction protein containing cAMP-binding and CBS domains		pfam00571 - CBS<br/><br/>						0	0	2264867484	53519	53965	+
2264875849	532	375	62	196	645	Cytochrome b561	COG3038 - Cytochrome b561<br/><br/>	pfam01292 - Ni_hydr_CYTB<br/><br/>					4	0	0	2264867484	53969	54613	+
2264875850	352	244	50	91	543	"Uncharacterized conserved protein, DUF924 family"	"COG3803 - Uncharacterized conserved protein, DUF924 family<br/><br/>"	pfam06041 - DUF924<br/><br/>						0	0	2264867484	54795	55337	+
2264875851	245	200	38	78	582	GTP cyclohydrolase I	COG0302 - GTP cyclohydrolase I<br/><br/>	pfam01227 - GTP_cyclohydroI<br/><br/>	TIGR00063 - GTP cyclohydrolase I<br/><br/>	EC:3.5.4.16 - GTP cyclohydrolase I.<br/><br/>	"KO:K01495 - GCH1, folE; GTP cyclohydrolase I [EC:3.5.4.16]<br/><br/>"			0	0	2264867484	55594	56175	-
2264875852	1111	709	162	336	2595	starch phosphorylase	COG0058 - Glucan phosphorylase<br/><br/>	pfam11897 - DUF3417<br/><br/>pfam00343 - Phosphorylase<br/><br/>	TIGR02094 - alpha-glucan phosphorylases<br/><br/>	EC:2.4.1.1 - Glycogen phosphorylase.<br/><br/>	"KO:K00688 - E2.4.1.1, glgP, PYG; starch phosphorylase [EC:2.4.1.1]<br/><br/>"			0	0	2264867484	56238	58832	-
2264875853	86	75	11	37	519	hypothetical protein								0	0	2264867484	58991	59509	-
2264875854	141	87	26	46	411	"Uncharacterized conserved protein, contains Mth938-like domain"	"COG3737 - Uncharacterized conserved protein, contains Mth938-like domain<br/><br/>"	pfam04430 - DUF498<br/><br/>						0	0	2264867484	59534	59944	-
2264875855	193	135	44	81	951	preprotein translocase subunit SecF	COG0341 - Preprotein translocase subunit SecF<br/><br/>	pfam02355 - SecD_SecF<br/><br/>pfam07549 - Sec_GG<br/><br/>	"TIGR00916 - protein-export membrane protein, SecD/SecF family<br/><br/>TIGR00966 - protein-export membrane protein SecF<br/><br/>"		KO:K03074 - secF; preprotein translocase subunit SecF<br/><br/>		5	0	0	2264867484	59946	60896	-
2264875856	296	236	66	126	1581	preprotein translocase subunit SecD	COG0342 - Preprotein translocase subunit SecD<br/><br/>	pfam02355 - SecD_SecF<br/><br/>pfam07549 - Sec_GG<br/><br/>	"TIGR01129 - protein-export membrane protein SecD<br/><br/>TIGR00916 - protein-export membrane protein, SecD/SecF family<br/><br/>"		KO:K03072 - secD; preprotein translocase subunit SecD<br/><br/>		6	0	0	2264867484	60913	62493	-
2264875857	58	51	23	45	342	protein translocase subunit yajC	COG1862 - Preprotein translocase subunit YajC<br/><br/>	pfam02699 - YajC<br/><br/>	"TIGR00739 - preprotein translocase, YajC subunit<br/><br/>"		KO:K03210 - yajC; preprotein translocase subunit YajC<br/><br/>	2946 - protein translocase subunit yajC<br/><br/>	2	0	0	2264867484	62642	62983	-
2264875858	229	213	62	101	1119	tRNA-guanine transglycosylase	COG0343 - Queuine/archaeosine tRNA-ribosyltransferase<br/><br/>	pfam01702 - TGT<br/><br/>	TIGR00449 - tRNA-guanine family transglycosylase<br/><br/>TIGR00430 - tRNA-guanine transglycosylase<br/><br/>	EC:2.4.2.29 - tRNA-guanine(34) transglycosylase.<br/><br/>	"KO:K00773 - tgt, QTRT1; queuine tRNA-ribosyltransferase [EC:2.4.2.29]<br/><br/>"	5205 - tRNA-guanine transglycosylase (EC 2.4.2.29)<br/><br/>		0	0	2264867484	63005	64123	-
2264875859	214	357	75	133	597	RNA polymerase-associated protein	COG0625 - Glutathione S-transferase<br/><br/>	pfam13417 - GST_N_3<br/><br/>pfam00043 - GST_C<br/><br/>			"KO:K03599 - sspA, mglA; RNA polymerase-associated protein<br/><br/>"			0	0	2264867484	64235	64831	-
2264875860	752	662	185	237	3879	phosphoribosylformylglycinamidine synthase	"COG0046 - Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain<br/><br/>"	pfam02769 - AIRS_C<br/><br/>pfam13507 - GATase_5<br/><br/>	"TIGR01735 - phosphoribosylformylglycinamidine synthase, single chain form<br/><br/>"	EC:6.3.5.3 - Phosphoribosylformylglycinamidine synthase.<br/><br/>	"KO:K01952 - purL, PFAS; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]<br/><br/>"			0	0	2264867484	65141	69019	+
2264875861	143	79	19	35	468	Diadenosine tetraphosphate (Ap4A) hydrolase	COG0537 - Diadenosine tetraphosphate (Ap4A) hydrolase or other HIT family hydrolase<br/><br/>	pfam01230 - HIT<br/><br/>						0	0	2264867484	68970	69437	+
2264875862	567	433	101	167	1404	Uncharacterized conserved protein		pfam02661 - Fic<br/><br/>						0	0	2264867484	69631	71034	+
2264875863	37	16	7	8	76	(tRNA )								0	0	2264867484	71037	71112	-
2264875864	548	237	55	116	984	hypothetical protein							4	0	0	2264867484	71175	72158	-
2264875865	577	540	121	291	372	Cytochrome c2	COG3474 - Cytochrome c2<br/><br/>	pfam00034 - Cytochrom_C<br/><br/>						1	0	2264867484	72383	72754	+
2264875866	1356	1111	242	374	2436	ATP-dependent Lon protease	"COG0466 - ATP-dependent Lon protease, bacterial type<br/><br/>"	pfam00004 - AAA<br/><br/>pfam05362 - Lon_C<br/><br/>pfam02190 - LON_substr_bdg<br/><br/>	TIGR00763 - endopeptidase La<br/><br/>	EC:3.4.21.53 - Endopeptidase La.<br/><br/>	KO:K01338 - lon; ATP-dependent Lon protease [EC:3.4.21.53]<br/><br/>			0	0	2264867484	72816	75251	-
2264875867	868	724	162	284	1254	ATP-dependent Clp protease ATP-binding subunit ClpX	"COG1219 - ATP-dependent protease Clp, ATPase subunit<br/><br/>"	pfam10431 - ClpB_D2-small<br/><br/>pfam06689 - zf-C4_ClpX<br/><br/>pfam07724 - AAA_2<br/><br/>	TIGR00382 - endopeptidase Clp ATP-binding regulatory subunit (clpX)<br/><br/>		"KO:K03544 - clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX<br/><br/>"			0	0	2264867484	75294	76547	-
2264875868	378	276	47	116	600	"ATP-dependent Clp protease, protease subunit"	"COG0740 - ATP-dependent protease ClpP, protease subunit<br/><br/>"	pfam00574 - CLP_protease<br/><br/>	"TIGR00493 - ATP-dependent Clp endopeptidase, proteolytic subunit ClpP<br/><br/>"	EC:3.4.21.92 - Endopeptidase Clp.<br/><br/>	"KO:K01358 - clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]<br/><br/>"			0	0	2264867484	76603	77202	-
2264875869	1080	893	187	356	1362	trigger factor	COG0544 - FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor)<br/><br/>	pfam05697 - Trigger_N<br/><br/>pfam00254 - FKBP_C<br/><br/>pfam05698 - Trigger_C<br/><br/>	TIGR00115 - trigger factor<br/><br/>		KO:K03545 - tig; trigger factor<br/><br/>			0	0	2264867484	77290	78651	-
2264875870	162	105	26	79	84	(tRNA )								0	0	2264867484	78942	79025	-
2264875871	316	319	58	159	378	hypothetical protein								0	0	2264867484	79276	79653	-
2264875872	2763	2037	418	883	4125	DNA-directed RNA polymerase subunit beta'	"COG0086 - DNA-directed RNA polymerase, beta' subunit/160 kD subunit<br/><br/>"	pfam04983 - RNA_pol_Rpb1_3<br/><br/>pfam05000 - RNA_pol_Rpb1_4<br/><br/>pfam00623 - RNA_pol_Rpb1_2<br/><br/>pfam04998 - RNA_pol_Rpb1_5<br/><br/>pfam04997 - RNA_pol_Rpb1_1<br/><br/>	"TIGR02386 - DNA-directed RNA polymerase, beta' subunit, predominant form<br/><br/>"	EC:2.7.7.6 - DNA-directed RNA polymerase.<br/><br/>	KO:K03046 - rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]<br/><br/>			0	0	2264867484	79693	83817	-
2264875873	2325	1915	389	871	4113	DNA-directed RNA polymerase subunit beta		pfam04561 - RNA_pol_Rpb2_2<br/><br/>pfam00562 - RNA_pol_Rpb2_6<br/><br/>pfam04560 - RNA_pol_Rpb2_7<br/><br/>pfam10385 - RNA_pol_Rpb2_45<br/><br/>pfam04563 - RNA_pol_Rpb2_1<br/><br/>pfam04565 - RNA_pol_Rpb2_3<br/><br/>	"TIGR02013 - DNA-directed RNA polymerase, beta subunit<br/><br/>"	EC:2.7.7.6 - DNA-directed RNA polymerase.<br/><br/>	KO:K03043 - rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]<br/><br/>			0	0	2264867484	83822	87934	-
2264875874	636	595	174	372	378	LSU ribosomal protein L12P	COG0222 - Ribosomal protein L7/L12<br/><br/>	pfam16320 - Ribosomal_L12_N<br/><br/>pfam00542 - Ribosomal_L12<br/><br/>	TIGR00855 - ribosomal protein L7/L12<br/><br/>		"KO:K02935 - RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12<br/><br/>"	222 - LSU ribosomal protein L12P<br/><br/>		0	0	2264867484	88202	88579	-
2264875875	732	656	184	513	519	LSU ribosomal protein L10P	COG0244 - Ribosomal protein L10<br/><br/>	pfam00466 - Ribosomal_L10<br/><br/>			"KO:K02864 - RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10<br/><br/>"	276 - LSU ribosomal protein L10P<br/><br/>		0	0	2264867484	88675	89193	-
2264875876	1115	966	239	495	687	large subunit ribosomal protein L1	COG0081 - Ribosomal protein L1<br/><br/>	pfam00687 - Ribosomal_L1<br/><br/>	"TIGR01169 - ribosomal protein L1, bacterial/chloroplast<br/><br/>"		"KO:K02863 - RP-L1, MRPL1, rplA; large subunit ribosomal protein L1<br/><br/>"			0	0	2264867484	89458	90144	-
2264875877	663	562	124	292	429	large subunit ribosomal protein L11	COG0080 - Ribosomal protein L11<br/><br/>	pfam00298 - Ribosomal_L11<br/><br/>pfam03946 - Ribosomal_L11_N<br/><br/>	"TIGR01632 - 50S ribosomal protein uL11, bacterial form<br/><br/>"		"KO:K02867 - RP-L11, MRPL11, rplK; large subunit ribosomal protein L11<br/><br/>"			0	0	2264867484	90146	90574	-
2264875878	605	545	151	328	531	transcription antitermination protein nusG	COG0250 - Transcription antitermination factor NusG<br/><br/>	pfam02357 - NusG<br/><br/>pfam00467 - KOW<br/><br/>	TIGR00922 - transcription termination/antitermination factor NusG<br/><br/>		KO:K02601 - nusG; transcriptional antiterminator NusG<br/><br/>	2231 - transcription antitermination protein nusG<br/><br/>		0	0	2264867484	90587	91117	-
